source_id,target_id,relationship_type,strength,co_mention_count,roles
6144ca56-9b31-4237-8fdb-c7854dd56478,d4bd2537-4b75-42dd-a9db-99300201fe09,co_mentioned,0.2,2,subject|location
9201f1d5-3afb-4caf-9ec7-c37a0c3f2da5,d4bd2537-4b75-42dd-a9db-99300201fe09,co_mentioned,0.2,2,subject|location
f44d1769-f65b-4fe6-9c6e-e0a07cc20cc2,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.1,1,subject|object
6144ca56-9b31-4237-8fdb-c7854dd56478,f44d1769-f65b-4fe6-9c6e-e0a07cc20cc2,co_mentioned,0.1,1,subject|object
9201f1d5-3afb-4caf-9ec7-c37a0c3f2da5,f44d1769-f65b-4fe6-9c6e-e0a07cc20cc2,co_mentioned,0.1,1,subject|object
ddba21cb-fe6e-4d40-bfee-1661b0ef68c0,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|location
50c331e2-3b97-456f-ab60-3dd7d7a8b602,54a93993-41e1-4851-8416-7c1f207cd668,co_mentioned,0.2,2,subject|location
50c331e2-3b97-456f-ab60-3dd7d7a8b602,ddba21cb-fe6e-4d40-bfee-1661b0ef68c0,co_mentioned,0.2,2,subject|location
2d935026-5672-495c-ae64-1beec6de6498,54a93993-41e1-4851-8416-7c1f207cd668,co_mentioned,0.2,2,subject|location
2d935026-5672-495c-ae64-1beec6de6498,ddba21cb-fe6e-4d40-bfee-1661b0ef68c0,co_mentioned,0.2,2,subject|location
85e840b5-172a-4a7a-bbb9-fbd8b8429fdf,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|object
73859baa-77bb-4346-b08b-5ee8481667bf,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|object
50c331e2-3b97-456f-ab60-3dd7d7a8b602,85e840b5-172a-4a7a-bbb9-fbd8b8429fdf,co_mentioned,0.2,2,subject|object
50c331e2-3b97-456f-ab60-3dd7d7a8b602,73859baa-77bb-4346-b08b-5ee8481667bf,co_mentioned,0.2,2,subject|object
2d935026-5672-495c-ae64-1beec6de6498,85e840b5-172a-4a7a-bbb9-fbd8b8429fdf,co_mentioned,0.2,2,subject|object
2d935026-5672-495c-ae64-1beec6de6498,73859baa-77bb-4346-b08b-5ee8481667bf,co_mentioned,0.2,2,subject|object
2d935026-5672-495c-ae64-1beec6de6498,b54fb823-af15-4705-9c4e-304f1070c966,co_mentioned,0.2,2,subject|object
193f4769-6fe4-4912-bad1-76edc2c6d5fb,2a0d7022-3764-44f2-92bb-d7e43ad4ed4f,co_mentioned,0.2,2,subject|location
